Rule,Criteria,Apply Facts,Trigger Functions,Trigger Rules,Query All Concept,Query Best Concept,Query Rand Best Concept,Query Old Best Concept,Options,Text
defaultPlayerStartContinue,"concept: optionSelected, option: defaultPlayerStartContinue",,,,,,,,Step out of the transport:defaultPlayerStartPortal,Your transport attaches to a docking port of your new command with a series of whines. The hatch twists open.
defaultPlayerStartPortal,"concept: optionSelected, option: defaultPlayerStartPortal",,,,,,defaultPlayerStartPortalResponse,,,
,,,,,,,,,,
defaultPlayerStartWalkerResponse,concept: defaultPlayerStartPortalResponse,,,,,,,,"Mention his service record:defaultPlayerStartWalkerOptionA, Demand an explanation for the tarnished uniform:defaultPlayerStartWalkerOptionB","You are greeted by one Cairo Walker, your new Security Officer. He has a muscular build, slick brown hair and an ancient English moustache. You notice that one of the gold buttons on his otherwise perfect uniform is loose. He salutes briskly as you step into refuge. "
defaultPlayerStartWalkerOptionA,"concept: optionSelected, option: defaultPlayerStartWalkerOptionA",,removeMoraleWithFlair: 5,,,,,,Continue: defaultPlayerStartWalkerContinue,"You ignore the gold button and exchange a few pleasantries, culminating in a firm handshake. You then refer to his service record; his time as a soldier on Strill, his time on various starships. You note that he gives short answers with little explanation when you ask questions, as if he is trying to avoid the topic entirely. "
defaultPlayerStartWalkerOptionB,"concept: optionSelected, option: defaultPlayerStartWalkerOptionB",,addMoraleWithFlair: 5,,,,,,Continue: defaultPlayerStartWalkerContinue,"You tell him that the degradation of his uniform is 'unacceptable' and 'disgraceful for a senior officer'. His face twitches and he apologises, soon responding by revealing that the starship has been short staffed and overworked, and that his uniform had regrettably become subjacent to his duties. He presents his arguments well, so you nod and simply demand that he fixes the issue. You note that the fluidity of his arguments likely denotes experience, and thus expectation, of being talked down by higher ranks."
defaultPlayerStartWalkerContinue,"concept: optionSelected, option: defaultPlayerStartWalkerContinue",,,,,,,,Exit:defaultLeave,Walker takes you on an expedition to the bridge while marching and persistently checking blind spots. He gives brief descriptions of key parts of the ship in a heavy accent. You stop to meet Chief Engineer Jiya and Medical Officer Febris en route. You become aquainted with First Officer Rui at the end of your pilgrimage.
,,,,,,,,,,
defaultPlayerStartJiyaResponse,concept: defaultPlayerStartPortalResponse,,,,,,,,"Shake her hand and converse: defaultPlayerStartJiyaOptionA, Reject her offer and get to business: defaultPlayerStartJiyaOptionB","You are greeted by one Elektra Jiya~Hefferan, your new Chief Engineer. She is old and time-worn, with thin grey hair whose existence may only be described as 'stubborn'. She also stands tall, flanked and infused with a rugged exoskeleton, most pronounced as it terminates above her shoulders and wraps around her forearms. You surprise her mid pace, and she quickly offers a mechanical hand towards you."
defaultPlayerStartJiyaOptionA,"concept: optionSelected, option: defaultPlayerStartJiyaOptionA",,removeMoraleWithFlair: 5,,,,,,Continue: defaultPlayerStartJiyaContinue,"You shake her outstretched hand, and then segue into conversation about her service record. She looks visibly disgruntled as you mention the double-digit pages of denunciations made over her career. She clarifies that the condemnation was a result of 'the boss being annoyed that I took initiative'. You note that the old-timer is exceptional at her work, as per an equal quantity of pages describing her exploits, but is uninhibited by command structure when it comes to her actions."
defaultPlayerStartJiyaOptionB,"concept: optionSelected, option: defaultPlayerStartJiyaOptionB",,addMoraleWithFlair: 5,,,,,,Continue: defaultPlayerStartJiyaContinue,"You wave away her outstretched hand, and gesture for her to walk with you - she appears surprised. You ask routine maintenance questions, which she answers succinctly. You get the impression, and thus note, that she is enthralled by her work and considers herself to not have time for anything else."
defaultPlayerStartJiyaContinue,"concept: optionSelected, option: defaultPlayerStartJiyaContinue",,,,,,,,Exit:defaultLeave,"She gives you directions to the bridge, says that she is 'needed in Engineering', and scurries away in a timeframe which leaves you astounded. You rely on junior officers to find and introduce yourself to Medical Officer Febris and Security Officer Walker, and meet First Officer Rui on the bridge."
,,,,,,,,,,
defaultPlayerStartRuiResponse,concept: defaultPlayerStartPortalResponse,,,,,,,,"Bring up his fast-tracked service record:defaultPlayerStartRuiOptionA, Ask about the starship:defaultPlayerStartRuiOptionB","You are greeted by one Luam Rui, your new First Officer. He is of average height and fit, perfect uniform, and his upper quartile length black hair is bordering a dress code violation. He offers you a haphazard salute as you step onto the deck. You verbally exchange a tally of traditions, which he nails. He offers for you to walk with him, which you oblige."
defaultPlayerStartRuiOptionA,"concept: optionSelected, option: defaultPlayerStartRuiOptionA",,removeMoraleWithFlair: 5,,,,,,Continue: defaultPlayerStartRuiContinue,"Rui looks sour as you recount his fairly short and fairly uneventful career. You append a few positive words from his file to bring solace. He justifies his rank with empty promises and by stating personal achievements. As you both round the corner to the bridge walkway, you ask him routine questions about the ships status - he responds thoroughly. You note that he is competent, although has yet to see the worst that space has to offer."
defaultPlayerStartRuiOptionB,"concept: optionSelected, option: defaultPlayerStartRuiOptionB",,addMoraleWithFlair: 5,,,,,,Continue: defaultPlayerStartRuiContinue,"Rui happily describes the ships departments, structure, history and crew with poorly suppressed passion - at times, he nearly sounds like he is attempting to sell it to you. You get the impression that your First Officer was not present for the ships worst trials and tribulations - in fact, he describes them as if they are ancient knowledge. You note that he is competent and driven, yet lacking in experience."
defaultPlayerStartRuiContinue,"concept: optionSelected, option: defaultPlayerStartRuiContinue",,,,,,,,Exit:defaultLeave,"He shows you the bridge, and then sick bay, main engineering and the armory, where you meet Medical Officer Febris, Chief Engineer Jiya and Security Officer Walker, respectively."
,,,,,,,,,,
defaultPlayerStartFebrisResponse,concept: defaultPlayerStartPortalResponse,,,,,,,,"Ask about the medical team aboard: defaultPlayerStartFebrisOptionA, Ask about her research into cell modification: defaultPlayerStartFebrisOptionB","You are greeted by one Jane Febris, your new Chief Medical Officer. She has a rough ponytail, dark skin, a perfectly tailored uniform and a lab coat. She smiles sincerely and shakes your hand as you step onto the deck, then briskly offers you a tour of the ship, which you accept."
defaultPlayerStartFebrisOptionA,"concept: optionSelected, option: defaultPlayerStartFebrisOptionA",,removeMoraleWithFlair: 5,,,,,,Continue: defaultPlayerStartFebrisContinue,"She appears less than happy when asked to talk about her subordinates. She speaks highly of her Senior Officer, and the expertise of several nurses, but by delicately balancing her words between praise and condemnation, she indicates that her team as a whole is only ‘mostly adept’, and ‘rather competent’. You note that something is either happening between her and a member of the medical department, or between the members of the department in its entirety."
defaultPlayerStartFebrisOptionB,"concept: optionSelected, option: defaultPlayerStartFebrisOptionB",,addMoraleWithFlair: 5,,,,,,Continue: defaultPlayerStartFebrisContinue,"She easily describes the fundamentals of her research. However, once you begin asking more specific questions, her knowledge quickly fails; she deliberates over which type of protein was integral to the third phase of her process, the exact impact of certain stimuli on the interventional trial, et al. You end up completing her sentences, and she quickly grows flustered. You note that she does not have the best memory."
defaultPlayerStartFebrisContinue,"concept: optionSelected, option: defaultPlayerStartFebrisContinue",,,,,,,,Exit:defaultLeave,"Febris takes you around the hearts of the main subdivisions aboard - besides sick bay, which she seemingly forgets. You meet Chief Engineer Jiya in main engineering, Security Officer Walker in the armoury and First Officer Rui on the bridge. "
,,,,,,,,,,
defaultPlayerWinOpenDialog,concept: playerWin,,"openDialog: null, objectiveSuccess: reachNewEden",,,addNewEdenArrivalFlair,,,Continue:playerWinStoryConclusion,"Comms reports that AIS has identified ‘a lot of starships’. It does not take long for several space installations to insist on clarification regarding your ships details. You suspect that if it wasn’t for the uptick in explorers entering New Eden, guns would already be pointed at you. You order the manifest to be sent. "
playerWinStoryConclusionDispatch,"concept: optionSelected, option: playerWinStoryConclusion",,,,,playerWinStoryConclusionResponse,,,Exit:defaultLeave,
playerWinStoryConclusionResponseGeneric,concept: playerWinStoryConclusionResponse,,,,,,,,,You think back to all you have seen on your journey.
playerWinStoryConclusionResponseConglomerate,"concept: playerWinStoryConclusionResponse, is_conglomerate_storyline_complete: true",,,,,,,,,"You think back to the Conglomerate. Evidently, there is a new contender on the galactic stage. The words of the Emissary are still heavy on your mind. You cannot decide if life taking such a form is incredible or horrifying."
playerWinStoryConclusionResponseDetective,"concept: playerWinStoryConclusionResponse, is_detective_storyline_complete: true",,,,,,,,,"You think back to the Detective. A being which could pause time and evidently change reality, yet refused to truely intefere with your progress towards its physical location. You realise that throughout your travels, you were astronomically lucky. You also realise that you have changed. You wonder whether your journey was truely random chance, or if the Detective actively manipulated it for an unknown motive."
newEdenArrivalFlair,concept: addNewEdenArrivalFlair,,,,,,,,,"You have arrived in New Eden, the true frontier of human civilisation."
,,,,,,,,,,
playerMutinyOpenDialog,concept: playerMutiny,,"openDialog: null, playSoundEffect: gunshot.wav",,,,,,Exit:defaultHardLeave,You are killed in a mutiny.
playerDeathOpenDialog,concept: playerDeath,,"openDialog: null, objectiveFailure: reachNewEden",,,,,,Exit:defaultLeave,You are dead.
,,,,,,,,,,
# core entity interactions,,,,,,,,,,
wormholeOpenDialog,"concept: followingBody, type: WORMHOLE",,openDialog: null,defaultApproachMessage,,tryWormholeAVFlair,,,"Enter the wormhole:enterWormhole, Leave:defaultLeave",
wormholeTryAVFlairResponse,"concept: tryWormholeAVFlair, system_civilized: true, player_AUDIO_VISUALIZER_unlocked: true, pending_audio_profiles: true",,,,,,,,,"You are informed that select planetary audio data - notorious for being a plague to on-board databanks - has strayed too far from its source, and subsequent bastions of civilization will likely refuse its delivery. Unless the data is sold within the current star system, the databanks will be purged following the traversal of [i]$name[/i]."
enterWormhole,"concept: optionSelected, option: enterWormhole",,closeDialog: ENTER_WORMHOLE,,,,,,,
wormholeDisabledOpenDialog,"concept: followingBody, type: WORMHOLE, wormhole_disabled: true",,openDialog: null,defaultApproachMessage,,,,,Leave:defaultLeave,"""This wormhole leads to our previous star system,"" the navigator on-deck informs you. ""At its present stability, we cannot risk traversal."""
,,,,,,,,,,
spaceEntityOverride,"concept: followingBody, type: SPACE_ENTITY, player_LONG_RANGE_SCOPES_unlocked: true",,openLRSApplicable: null,,,,,,,
spaceEntityOpenDialog,"concept: followingBody, type: SPACE_ENTITY, player_LONG_RANGE_SCOPES_unlocked: false",,openDialog: null,defaultApproachMessage,,,,,"Ask if it can be made sharper:spaceEntityContinue, Leave: defaultLeave",A scope view of the phenomena is present on a junior officers console. The sight to behold is a collection of fuzzy white dots against a parallax of stars.
spaceEntityContinue,"concept: optionSelected, option: spaceEntityContinue",,,,,,,,Leave:defaultLeave,"You ask if the scopes can be re-calibrated for a more distinct display. ""No, $player_prefix_lower,"" the junior officer replies, ""this is the sharpest we have been able to make it with the scopes on board... of course, we could get closer, but the Codex says otherwise."" You note that the aquisition of [color=yellow]long range scope technology[/color] would allow for data to be collected from the phenomena. "
,,,,,,,,,,
planetGLSOverride,"concept: followingBody, type: PLANET, missing_GL: true, player_GAS_LAYER_SURVEYOR_unlocked: true",,openGLSApplicable: null,,,,,,,
planetOpenDialog,"concept: followingBody, type: PLANET",,"openDialog: null, getPlanetDescriptionWithFlair: $planet_type",defaultApproachMessage,tryPlanetFlairs,,,,Leave:defaultLeave,
planetTryAVFlairResponse,"concept: tryPlanetFlairs, missing_AO: true",,,,,,,,,"You are informed that the planet is emitting anomalous waveforms, and note that it would thus be a quality target for [color=yellow]audio visualization technology[/color], which could allow for a deeper analysis into it's class. "
planetTryGLSFlairResponse,"concept: tryPlanetFlairs, missing_GL: true",,,,,,,,,You are informed that sensors are having difficulty penetrating the planet's upper atmosphere. You note that the aquisition of [color=yellow]gas layer surveying technology[/color] would allow for a deeper analysis into the composition and layout of it's stratosphere.
,,,,,,,,,,
starOpenDialog,"concept: followingBody, type: STAR",,"openDialog: null, getStarDescriptionWithFlair: $star_type",defaultApproachMessage,,,,,Leave:defaultLeave,
,,,,,,,,,,
"#ALL valid station classifications: STANDARD, PIRATE, ABANDONED, COVERUP, DEBRIS, ABANDONED_OPERATIONAL, ABANDONED_BACKROOMS, PARTIALLY_SALVAGED, BIRD",,,,,,,,,,
,,,,,,,,,,
stationApproachMessage,concept: stationApproachMessage,,,,,,,,,Your ship approaches the location of a space station defined in native star charts.
stationOpenDialog,"concept: followingBody, type: STATION, station_available: true",,openDialog: null,stationApproachMessage,populateStationOptions,addStationFlair,,,Leave:defaultLeave,
,,,,,,,,,,
stationFlair_STANDARD,"concept: addStationFlair, station_classification: STANDARD",,,,,,,,,"[i]$name[/i] establishes communications. It is a behemoth port glistening with power and influence, representing one of the rare successful colonisation initatives of the Late Proliferation Period. It's inhabitants are well aware of Arata's theorem, and may even be a member of the provisional assembly. In any case, they are willing to trade nanites for repairs and use of their on-board synthesis manufactories."
stationFlair_PIRATE,"concept: addStationFlair, station_classification: PIRATE",,,,,,,,,"[i]$name[/i] establishes communications. It is a large port which appears to have been designed purely out of necessity, representing one of the few semi-successful colonisation initatives of the Late Proliferation Period. It's inhabitants are well aware of Arata's theorem and the provisional government, but are too smothered by internal issues to take advantage of either. Nontheless, they may be willing to trade nanites for repairs and use of their on-board synthesis manufactories. You note that by trading, you run the risk of being caught in such 'internal issues'."
stationFlair_DEBRIS,"concept: addStationFlair, station_classification: DEBRIS",,,,,,,,,[i]$name[/i] does not attempt to establish communications. Sensors soon detect an expanding debris field. The remains of this port represent the numerous failed colonisation initatives of the Late Proliferation Period.
stationFlairGenericInhabited,"concept: addStationFlair, station_inhabited: true",,,,,,,,,[i]$name[/i] establishes communications.
stationFlairGenericAbandoned,"concept: addStationFlair, station_abandoned: true",,,,,,,,,[i]$name[/i] does not attempt to establish communications. 
,,,,,,,,,,
stationDockingAccessOption,"concept: populateStationOptions, station_inhabited: true",,,,,,,,Request Docking Access: stationDockingAccess,
stationSalvageOption,"concept: populateStationOptions, station_abandoned: true",,,,,,,,Scout for Salvage: stationSalvageDispatch,
stationDockingAccess,"concept: optionSelected, option: stationDockingAccess",,closeDialog: DOCK_WITH_STATION,,,,,,,
stationPostSalvageLeave,"concept: optionSelected, option: stationPostSalvageLeave",,closeDialog: POST_SALVAGE_LEAVE,,,,,,,
,,,,,,,,,,
stationSalvageDispatch,"concept: optionSelected, option: stationSalvageDispatch",,,,,stationSalvage,,,Leave:postSalvageLeave,
stationSalvageGeneric,concept: stationSalvage,,addValueWithFlair: 5000,,,,,,,Useful data is aquired. 
stationSalvage_ABANDONED,"concept: stationSalvage, station_classification: ABANDONED",,addValueWithFlair: 5000,,,,,,,"The station appears to have been abandoned over an extended length of time for any number of bloodless reasons. Potential causes like economic depression, a distant calamity, or a simple obsolescence, are theorised by your senior staff. It is easily ransacked by salvage personnel, who find useful data within on-board databanks."
,,,,,,,,,,
stationSalvage_COVERUP,"concept: stationSalvage, station_classification: COVERUP",,,,populateCOVERUPOptions,,,,,"Aboard the station, a vague disaster appears to have occurred. Scouts can find no bodies, and it appears that each compartment has been deliberately and carefully depressurized. The decision is made to recall the scouts early, to not risk tampering with evidence."
COVERUPWalkerOption,"concept: populateCOVERUPOptions, player_SECURITY_OFFICER_alive: true",,,,,,,,Order Walker to lead an away team: COVERUPWalkerTrip,
COVERUPDefaultOption,concept: populateCOVERUPOptions,,,,,,,,Send an away team: COVERUPDefaultTrip,
COVERUPWalkerTrip,concept: COVERUPWalkerTrip,,addValueWithFlair: 5000,,,,addCOVERUPScenario,,Leave:postSalvageLeave,
COVERUPDefaultTrip,concept: COVERUPDefaultTrip,,addValueWithFlair: 5000,,,,addCOVERUPScenario,,Leave:postSalvageLeave,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
#stationSalvage_DEBRIS,"concept: stationSalvage, station_classification: DEBRIS",,,,,,,,,
#stationSalvage_ABANDONED_OPERATIONAL,"concept: stationSalvage, station_classification: ABANDONED_OPERATIONAL",,,,,,,,,
#stationSalvage_ABANDONED_BACKROOMS,"concept: stationSalvage, station_classification: ABANDONED_BACKROOMS",,,,,,,,,
#stationSalvage_PARTIALLY_SALVAGED,"concept: stationSalvage, station_classification: PARTIALLY_SALVAGED",,,,,,,,,
#stationSalvage_BIRD,"concept: stationSalvage, station_classification: BIRD",,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
#rendezvous points,,,,,,,,,,
RP_OpenDialog,"concept: followingBody, type: RENDEZVOUS_POINT",,openDialog: null,,populateRP_Options,,,,Leave:defaultLeave,Your ship approaches the rendezvous point. Your hand hovers over the intra-ship communications console in your ready room.
RP_RuiOption,"concept: populateRP_Options, player_FIRST_OFFICER_alive: true",,,,,,,,Summon First Officer Rui: RP_RuiSummon,
RP_JiyaOption,"concept: populateRP_Options, player_CHIEF_ENGINEER_alive: true",,,,,,,,Summon Chief Engineer Jiya: RP_JiyaSummon,
RP_WalkerOption,"concept: populateRP_Options, player_SECURITY_OFFICER_alive: true",,,,,,,,Summon Security Officer Walker: RP_WalkerSummon,
RP_FebrisOption,"concept: populateRP_Options, player_MEDICAL_OFFICER_alive: true",,,,,,,,Summon Medical Officer Febris: RP_FebrisSummon,
RP_Fallback,"concept: optionSelected, option: RP_Fallback",,,,populateRP_Options,,,,Leave:defaultLeave,You consider what to do next.
,,,,,,,,,,
RP_RuiSummon,"concept: optionSelected, option: RP_RuiSummon",,,,populateRP_RuiOptions,,,,Dismiss Rui: RP_Fallback,"Rui enters your ready room and warily takes a seat. You understand that, for the price of [color=red]-$morale_increase_cost nanites[/color], Rui would be able to incur [color=green]+25% morale[/color]."
RP_RuiHelpOption,"concept: populateRP_RuiOptions, player_balance: >=$morale_increase_cost",,,,,,,,Order Rui to increase morale: RP_RuiHelp,
RP_RuiHelp,"concept: optionSelected, option: RP_RuiHelp",,"addMoraleWithFlair: 25, decreaseBalanceWithFlair: $morale_increase_cost",,,,,,Continue: RP_RuiFallback,"You command Rui to increase morale, using the provided resources. ""Yes $player_prefix,"" he obliges."
RP_RuiFallback,"concept: optionSelected, option: RP_RuiFallback",,,,populateRP_RuiOptions,,,,Dismiss Rui: RP_Fallback,"""Anything else I can do for you, $player_prefix?"" Rui asks."
,,,,,,,,,,
RP_JiyaSummon,"concept: optionSelected, option: RP_JiyaSummon",,,,populateRP_JiyaOptions,,,,Dismiss Jiya: RP_Fallback,"Jiya enters your ready room and sits down. You understand that, for the price of [color=red]-25% morale[/color], Jiya would be able to incur [color=green]-25% hull stress[/color]."
RP_JiyaHelpOption,"concept: populateRP_JiyaOptions, player_morale: >=25",,,,,,,,Order Jiya to perform emergency repairs: RP_JiyaHelp,
RP_JiyaHelp,"concept: optionSelected, option: RP_JiyaHelp",,"removeHullStressWithFlair: 25, removeMoraleWithFlair: 25",,,,,,Continue: RP_JiyaFallback,"You command Jiya to perform emergency repairs, at any cost. ""Aye, boss. But I 'on't like it,"" she says."
RP_JiyaFallback,"concept: optionSelected, option: RP_JiyaFallback",,,,populateRP_JiyaOptions,,,,Dismiss Jiya: RP_Fallback,"""Anything else you want me to do, boss?"" Jiya asks."
,,,,,,,,,,
RP_FebrisSummon,"concept: optionSelected, option: RP_FebrisSummon",,,,populateRP_FebrisOptions,,,,Dismiss Febris: RP_Fallback,"Febris enters your ready room and quickly takes a seat. You understand that, for the price of [color=red]-25% morale[/color], Febris would be able to incur [color=green]+10000 nanites[/color]. Additionally, for the price of [color=red]-25% morale[/color], Febris would be able to locate an undiscovered body in the system, if applicable. "
RP_FebrisHelpOption,"concept: populateRP_FebrisOptions, player_morale: >=25",,,,,,,,Order Febris to accelerate research: RP_FebrisHelp,
RP_FebrisHelp,"concept: optionSelected, option: RP_FebrisHelp",,"addValueWithFlair: 10000, removeMoraleWithFlair: 25",,,,,,Continue: RP_FebrisFallback,"You command Febris to accelerate research using the provided nanites. ""Yes, $player_prefix, if you are sure,"" she obliges."
RP_FebrisScoutOption,"concept: populateRP_FebrisOptions, player_morale: >=25",,,,,,,,Order Febris to find an undiscovered body: RP_FebrisScout,
RP_FebrisScout,"concept: optionSelected, option: RP_FebrisScout",,"discoverRandomBodyWithFlair: null, removeMoraleWithFlair: 25",,,,,,Continue: RP_FebrisFallback,"You command Febris to find an undiscovered body. ""Yes, $player_prefix, if you are sure,"" she obliges."
RP_FebrisFallback,"concept: optionSelected, option: RP_FebrisFallback",,,,populateRP_FebrisOptions,,,,Dismiss Febris: RP_Fallback,"""Is there anything else I can do for you, $player_prefix?"" Febris asks."
,,,,,,,,,,
RP_WalkerSummon,"concept: optionSelected, option: RP_WalkerSummon",,,,populateRP_WalkerOptions,,,,Dismiss Walker: RP_Fallback,"Walker enters your ready room, salutes, asks for permission to sit and does so when given. You understand that your standing with Walker dictates your chance to survive a mutiny."
RP_WalkerFallback,"concept: optionSelected, option: RP_WalkerFallback",,,,populateRP_WalkerOptions,,,,Dismiss Walker: RP_Fallback,"""$player_prefix, anything else that I can do for you, $player_prefix?"" Walker asks."
,,,,,,,,,,
,,,,,,,,,,
"#anomalies should only be picked if ALL characters essential to the anomaly are alive, rather than having branching paths depending on what characters ARE alive. ",,,,,,,,,,
,,,,,,,,,,
# planetary anomalies,,,,,,,,,,
gasSiphoningMessage,concept: gasSiphoningMessage,,,,,gasSiphoningMessageDispatch,,,,
gasSiphoningNeptunianMessage,"concept: gasSiphoningMessageDispatch, planet_classification: Neptunian, gasSiphoningNeptunianMessagePREV: false",gasSiphoningNeptunianMessagePREV: true,,,,,,,,"[color=darkgray]Delving deep into the atmosphere of Neptunian and Jovian worlds in order to extract pressure-forged rare gasses has been a dangerous, yet profitable practice since the early days of space flight. On Neptunian worlds, this is often achieved via high altitude extraction depots, which extract more common gasses at high volumes. [/color]"
gasSiphoningJovianMessage,"concept: gasSiphoningMessageDispatch, planet_classification: Jovian, gasSiphoningJovianMessagePREV: false",gasSiphoningJovianMessagePREV: true,,,,,,,,"[color=darkgray]Delving deep into the atmosphere of Neptunian and Jovian worlds in order to extract pressure-forged rare gasses has been a dangerous, yet profitable practice since the early days of space flight. On Jovian worlds, this is often achieved via specialised extraction ships, which glide deep before dropping weight to escape with a small yield of extremely profitable gas. [/color]"
,,,,,,,,,,
PAHardLeave,"concept: optionSelected, option: PAHardLeave",,closeDialog: HARD_LEAVE,,,,,,,
PASoftLeave,"concept: optionSelected, option: PASoftLeave",,closeDialog: SOFT_LEAVE,,,,,,,
,,,,,,,,,,
PA_TerranPortal,"concept: followingBody, type: PLANET, planet_classification: Terran, planetary_anomaly: true, planetary_anomaly_available: true",,,,,,PA_TerranPortalResponse,,,
PA_NeptunianPortal,"concept: followingBody, type: PLANET, planet_classification: Neptunian, planetary_anomaly: true, planetary_anomaly_available: true",,,,,,PA_NeptunianPortalResponse,,,
PA_JovianPortal,"concept: followingBody, type: PLANET, planet_classification: Jovian, planetary_anomaly: true, planetary_anomaly_available: true",,,,,,PA_JovianPortalResponse,,,
,,,,,,,,,,
PA_StationGenericOpenDialog,"concept: PA_TerranPortalResponse, player_in_CORE_or_FRONTIER_region: true",,openDialog: null,defaultApproachMessage,,,,,"Request Docking Access: PA_StationGenericDockingAccess, Leave:PASoftLeave","There appears to be an occupied settlement, missing from native starcharts, on the surface of the planet. You recall that profits at such bases are usually lower than official counterparts. Communications are quickly established. "
PA_StationGenericDockingAccess,"concept: optionSelected, option: PA_StationGenericDockingAccess",,closeDialog: HARD_LEAVE_STATION_OVERRIDE,,,,,,,
,,,,,,,,,,
PA_RepairGenericTerranOpenDialog,"concept: PA_TerranPortalResponse, player_in_ANY_region: true",,,,,PA_RepairGenericActions,,,,
PA_RepairGenericNeptunianOpenDialog,"concept: PA_NeptunianPortalResponse, player_in_ANY_region: true",,,,,PA_RepairGenericActions,,,,
PA_RepairGenericJovianOpenDialog,"concept: PA_JovianPortalResponse, player_in_ANY_region: true",,,,,PA_RepairGenericActions,,,,
PA_RepairGenericActions,concept: PA_RepairGenericActions,,openDialog: null,defaultApproachMessage,,,,,"Program the nanites for repair: PA_RepairGenericDispatch, Leave: PASoftLeave","Sensors detect an abandoned nanite cache, with an integrated nanite controller, in low orbit."
PA_RepairGenericDispatch,"concept: optionSelected, option: PA_RepairGenericDispatch",,,,,,PA_RepairGenericDispatchResponse,,,
PA_RepairGenericDispatchSuccess,concept: PA_RepairGenericDispatchResponse,,removeHullStressWithFlair: 15,,,,,,Leave:PAHardLeave,The nanites successfully repair your starship.
PA_RepairGenericDispatchFailure,concept: PA_RepairGenericDispatchResponse,,,,,,,,Leave:PAHardLeave,The nanites malfunction and shutdown before repairs can be made.
,,,,,,,,,,
PA_01GenericTerranOpenDialog,"concept: PA_TerranPortalResponse, player_in_ANY_region: true",,,,,PA_01GenericActions,,,,An inconsistent LIDAR return is marked on its surface.
PA_01GenericNeptunianOpenDialog,"concept: PA_NeptunianPortalResponse, player_in_ANY_region: true",,,,,PA_01GenericActions,,,,An inconsistent LIDAR return is marked within its atmosphere.
PA_01GenericJovianOpenDialog,"concept: PA_JovianPortalResponse, player_in_ANY_region: true",,,,,PA_01GenericActions,,,,An inconsistent LIDAR return is marked within the upper fringes of its atmosphere.
PA_01GenericActions,concept: PA_01GenericActions,,openDialog: null,defaultApproachMessage,,,,,"Investigate:PA_01GenericContinue, Leave:PASoftLeave",
PA_01GenericContinue,"concept: optionSelected, option: PA_01GenericContinue",,addValueWithFlair: 5000,,,,,,Leave:PAHardLeave,"Upon further analysis and several additional pings, it becomes clear that the inconsistent return was merely a false echo. The higher resolution scan data will yield marginal value."
,,,,,,,,,,
PA_02GenericTerranOpenDialog,"concept: PA_TerranPortalResponse, player_in_FRONTIER_region: true",,,,,PA_02GenericActions,,,,
PA_02GenericNeptunianOpenDialog,"concept: PA_NeptunianPortalResponse, player_in_FRONTIER_region: true",,,,,PA_02GenericActions,,,,
PA_02GenericJovianOpenDialog,"concept: PA_JovianPortalResponse, player_in_FRONTIER_region: true",,,,,PA_02GenericActions,,,,
PA_02GenericActions,concept: PA_02GenericActions,,openDialog: null,defaultApproachMessage,,,,,"Scout for salvage:PA_02GenericDispatch, Leave:PASoftLeave",Sensors detect an abandoned satellite in low orbit.
